label,config,num_envs,num_processes,frame_skip,action_delay,step_calls,env_steps,wall_seconds,trials,env_steps_per_sec,env_steps_per_sec_ci95,step_calls_per_sec,step_calls_per_sec_ci95
bench,bench,1,1,4,0,3951,3951,9.842278002994135,8,425.68455299930554,172.51731263943336,425.68455299930554,172.51731263943336
bench,bench_N2,2,1,4,0,10851,21702,9.006474300054833,9,2409.6314527458376,55.09806321043086,1204.8157263729188,27.54903160521543
bench,bench_N4,4,1,4,0,10215,40860,9.019157371018082,9,4530.51348786961,127.36651897392213,1132.6283719674025,31.84162974348053
bench,bench_N8,8,1,4,0,8344,66752,9.006226476980373,9,7411.796881085648,154.50132975288287,926.474610135706,19.31266621911036
bench,bench_N16,16,1,4,0,6518,104288,9.036859553074464,9,11540.324596597979,396.05921599827695,721.2702872873737,24.75370099989231
bench,bench_N32,32,1,4,0,4443,142176,9.063182561891153,9,15691.609051537076,539.1709039012019,490.3627828605336,16.84909074691256
bench,bench_N64,64,1,4,0,2658,170112,9.119739727000706,9,18657.26501095985,681.1281211923084,291.51976579624767,10.642626893629819
bench,bench_N128,128,1,4,0,1289,164992,9.068510882090777,9,18195.894707526917,1151.8236485717343,142.15542740255404,8.998622254466675
bench,bench_N1_P2,1,2,4,0,6757,6757,10.313073647092097,8,703.1670684465008,201.20952507906756,703.1670684465008,201.20952507906756
bench,bench_N2_P2,2,2,4,0,13378,26756,9.011782329063863,9,2969.502218907399,43.379691500204984,1484.7511094536994,21.689845750102492
bench,bench_N4_P2,4,2,4,0,12507,50028,9.008779591065831,9,5553.805178654157,71.24020124710665,1388.4512946635393,17.810050311776664
bench,bench_N8_P2,8,2,4,0,11203,89624,9.008193706045859,9,9951.396549438947,306.8255707739991,1243.9245686798683,38.35319634674989
bench,bench_N16_P2,16,2,4,0,8979,143664,9.018733260920271,9,15940.241200854935,563.2668247294205,996.2650750534334,35.20417654558878
bench,bench_N32_P2,32,2,4,0,6926,221632,9.02194772893563,9,24580.279713718308,717.8892761609379,768.1337410536971,22.43403988002931
bench,bench_N64_P2,64,2,4,0,4366,279424,9.01995976199396,9,30990.39570725448,498.7989370662837,484.22493292585125,7.793733391660683
bench,bench_N128_P2,128,2,4,0,2288,292864,9.054991498007439,9,32372.569772138915,1137.8111395285441,252.91070134483527,8.889149527566751
bench,bench_N1_P3,1,3,4,0,9785,9785,10.469095604028553,8,1046.8397481144868,270.70810805850766,1046.8397481144868,270.70810805850766
bench,bench_N2_P3,2,3,4,0,13699,27398,9.013441837043501,9,3040.790196742027,53.15518845566766,1520.3950983710135,26.57759422783383
bench,bench_N4_P3,4,3,4,0,13050,52200,9.016335696913302,9,5791.101050002671,173.45868568911158,1447.7752625006678,43.364671422277894
bench,bench_N8_P3,8,3,4,0,11833,94664,9.018949772929773,9,10502.396792174106,360.0154130464433,1312.7995990217632,45.001926630805414
bench,bench_N16_P3,16,3,4,0,10097,161552,9.051384979044087,9,17889.511780732977,454.0002575467307,1118.094486295811,28.37501609667067
bench,bench_N32_P3,32,3,4,0,8012,256384,9.027057316037826,9,28418.853528841166,643.9927275469054,888.0891727762864,20.124772735840793
bench,bench_N64_P3,64,3,4,0,5219,334016,9.023447262938134,9,37039.12619423871,550.0948938599224,578.7363467849798,8.595232716561288
bench,bench_N128_P3,128,3,4,0,2914,372992,9.11486033105757,9,41157.49368831927,680.3385849450234,321.5429194399943,5.315145194882995
bench,bench_N1_P4,1,4,4,0,11355,11355,10.172475071041845,8,1225.5959935302371,313.40225000229685,1225.5959935302371,313.40225000229685
bench,bench_N2_P4,2,4,4,0,13444,26888,9.014912771992385,9,2983.370206896254,47.35202103096455,1491.685103448127,23.676010515482275
bench,bench_N4_P4,4,4,4,0,13083,52332,10.041648020967841,9,5646.968883274859,143.1603685833803,1411.7422208187147,35.79009214584507
bench,bench_N8_P4,8,4,4,0,11826,94608,9.022061632946134,9,10490.97001310978,279.94870905319226,1311.3712516387225,34.99358863164903
bench,bench_N16_P4,16,4,4,0,10112,161792,9.024124269024469,9,17949.88309271146,693.6790224687569,1121.8676932944663,43.354938904297306
bench,bench_N32_P4,32,4,4,0,8402,268864,9.039857947966084,9,29766.569069545185,1078.8024572430038,930.205283423287,33.71257678884387
bench,bench_N64_P4,64,4,4,0,5958,381312,9.05191695492249,9,42194.669977410376,1729.1468258442433,659.2917183970371,27.0179191538163
bench,bench_N128_P4,128,4,4,0,3426,438528,9.081393653992563,9,48412.0268702412,943.413371722439,378.21895992375937,7.370416966581555
